id;contract;employee;overtime;startdate;enddate;type;days;description
920;;37 ;;2023-01-01;2023-06-30;6;6.5;Carried Forward Leave
921;;55 ;;2023-01-01;2023-06-30;6;5;Carried Forward Leave
922;;45 ;;2023-01-01;2023-06-30;6;6;Carried Forward Leave
923;;20 ;;2023-01-01;2023-06-30;6;14;Carried Forward Leave
924;;14 ;;2023-01-01;2023-06-30;6;7;Carried Forward Leave
925;;9 ;;2023-01-01;2023-06-30;6;14;Carried Forward Leave
926;;17 ;;2023-01-01;2023-06-30;6;5;Carried Forward Leave
927;;5 ;;2023-01-01;2023-06-30;6;13;Carried Forward Leave
928;;12 ;;2023-01-01;2023-06-30;6;12.5;Carried Forward Leave
929;;48 ;;2023-01-01;2023-06-30;6;2;Carried Forward Leave
930;;23 ;;2023-01-01;2023-06-30;6;7;Carried Forward Leave
931;;11 ;;2023-01-01;2023-06-30;6;6;Carried Forward Leave
932;;13 ;;2023-01-01;2023-06-30;6;7;Carried Forward Leave
933;;7 ;;2023-01-01;2023-06-30;6;8;Carried Forward Leave
934;;57 ;;2023-01-01;2023-06-30;6;6;Carried Forward Leave
935;;36 ;;2023-01-01;2023-06-30;6;0;Carried Forward Leave
936;;47 ;;2023-01-01;2023-06-30;6;3;Carried Forward Leave
937;;46 ;;2023-01-01;2023-06-30;6;10;Carried Forward Leave
938;;61 ;;2023-01-01;2023-06-30;6;0;Carried Forward Leave
939;;22 ;;2023-01-01;2023-06-30;6;10;Carried Forward Leave
940;;77 ;;2023-01-01;2023-06-30;6;8;Carried Forward Leave
941;;6 ;;2023-01-01;2023-06-30;6;13;Carried Forward Leave
942;;54 ;;2023-01-01;2023-06-30;6;10;Carried Forward Leave
943;;60 ;;2023-01-01;2023-06-30;6;7;Carried Forward Leave
944;;28 ;;2023-01-01;2023-06-30;6;12;Carried Forward Leave
945;;78 ;;2023-01-01;2023-06-30;6;3;Carried Forward Leave
946;;59 ;;2023-01-01;2023-06-30;6;7;Carried Forward Leave
947;;67 ;;2023-01-01;2023-06-30;6;4;Carried Forward Leave
948;;79 ;;2023-01-01;2023-06-30;6;1;Carried Forward Leave
949;;49 ;;2023-01-01;2023-06-30;6;2;Carried Forward Leave
950;;41 ;;2023-01-01;2023-06-30;6;8;Carried Forward Leave
951;;71 ;;2023-01-01;2023-06-30;6;12;Carried Forward Leave
952;;76 ;;2023-01-01;2023-06-30;6;6;Carried Forward Leave
953;;66 ;;2023-01-01;2023-06-30;6;6;Carried Forward Leave
954;;29 ;;2023-01-01;2023-06-30;6;6;Carried Forward Leave
955;;27 ;;2023-01-01;2023-06-30;6;10;Carried Forward Leave
956;;32 ;;2023-01-01;2023-06-30;6;14;Carried Forward Leave
957;;64 ;;2023-01-01;2023-06-30;6;2;Carried Forward Leave
958;;73 ;;2023-01-01;2023-06-30;6;6;Carried Forward Leave
959;;38 ;;2023-01-01;2023-06-30;6;10;Carried Forward Leave
960;;56 ;;2023-01-01;2023-06-30;6;12;Carried Forward Leave
961;;15 ;;2023-01-01;2023-06-30;6;4;Carried Forward Leave
962;;63 ;;2023-01-01;2023-06-30;6;11;Carried Forward Leave
963;;16 ;;2023-01-01;2023-06-30;6;5;Carried Forward Leave
964;;33 ;;2023-01-01;2023-06-30;6;4;Carried Forward Leave
965;;35 ;;2023-01-01;2023-06-30;6;9;Carried Forward Leave
966;;72 ;;2023-01-01;2023-06-30;6;9;Carried Forward Leave
967;;75 ;;2023-01-01;2023-06-30;6;11;Carried Forward Leave
968;;8 ;;2023-01-01;2023-06-30;6;15;Carried Forward Leave
969;;68 ;;2023-01-01;2023-06-30;6;11;Carried Forward Leave
970;;51 ;;2023-01-01;2023-06-30;6;10;Carried Forward Leave
971;;18 ;;2023-01-01;2023-06-30;6;14;Carried Forward Leave
